date,place,salesman,Time (ex : 18 means from 18.00 to 19.00),visitor_id,"salesman suggested flyers (no:0, yes:1)","visitorid took flyer (no:0, yes:1)"
5/1/2014,Bastille,Helene,19,visitor_1023,1,0
5/1/2014,Bastille,Helene,19,visitor_1040,1,0
5/1/2014,Bastille,Helene,19,visitor_1073,0,0
5/1/2014,Bastille,Helene,19,visitor_1074,0,0
5/1/2014,Bastille,Helene,19,visitor_1078,0,0
5/1/2014,Bastille,Helene,19,visitor_1099,1,1
5/1/2014,Bastille,Helene,19,visitor_1107,0,0
5/1/2014,Bastille,Helene,19,visitor_1110,1,0
5/1/2014,Bastille,Helene,19,visitor_1115,0,0
5/1/2014,Bastille,Helene,19,visitor_1133,1,0
5/1/2014,Bastille,Helene,19,visitor_1164,0,0
5/1/2014,Bastille,Helene,19,visitor_1201,1,0
5/1/2014,Bastille,Helene,19,visitor_1209,0,0
5/1/2014,Bastille,Helene,19,visitor_1246,1,1
5/1/2014,Bastille,Helene,19,visitor_1253,0,0
5/1/2014,Bastille,Helene,19,visitor_1276,0,0
5/1/2014,Bastille,Helene,19,visitor_1284,0,0
5/1/2014,Bastille,Helene,19,visitor_1335,0,0
5/1/2014,Bastille,Helene,19,visitor_1398,0,0
5/1/2014,Bastille,Helene,19,visitor_1402,1,0
5/1/2014,Bastille,Helene,19,visitor_1406,0,0
5/1/2014,Bastille,Helene,19,visitor_1419,1,0
5/1/2014,Bastille,Helene,19,visitor_1424,1,0
5/1/2014,Bastille,Helene,19,visitor_1428,0,0
5/1/2014,Bastille,Helene,20,visitor_1446,0,0
5/1/2014,Bastille,Helene,20,visitor_1447,0,0
5/1/2014,Bastille,Helene,20,visitor_1451,0,0
5/1/2014,Bastille,Helene,20,visitor_1454,0,0
5/1/2014,Bastille,Helene,20,visitor_1463,1,0
5/1/2014,Bastille,Helene,20,visitor_1479,0,0
5/1/2014,Bastille,Helene,20,visitor_1488,0,0
5/1/2014,Bastille,Helene,20,visitor_1498,0,0
5/1/2014,Bastille,Helene,20,visitor_1536,0,0
5/1/2014,Bastille,Helene,20,visitor_1542,1,1
5/1/2014,Bastille,Helene,20,visitor_1589,1,0
5/1/2014,Bastille,Helene,20,visitor_1608,0,0
5/1/2014,Bastille,Helene,20,visitor_1636,1,1
5/1/2014,Bastille,Helene,20,visitor_1639,0,0
5/1/2014,Bastille,Helene,20,visitor_1670,0,0
5/1/2014,Bastille,Helene,20,visitor_1674,0,0
5/1/2014,Bastille,Helene,20,visitor_1692,1,1
5/1/2014,Bastille,Helene,20,visitor_1696,1,1
5/1/2014,Bastille,Helene,20,visitor_1713,1,0
5/1/2014,Bastille,Helene,20,visitor_1717,0,0
5/1/2014,Bastille,Helene,20,visitor_1733,0,0
5/1/2014,Bastille,Helene,20,visitor_1747,0,0
5/1/2014,Bastille,Helene,20,visitor_1767,0,0
5/1/2014,Bastille,Helene,20,visitor_1786,0,0
5/1/2014,Bastille,Helene,20,visitor_1817,1,0
5/1/2014,Bastille,Helene,20,visitor_1855,0,0
5/1/2014,Bastille,Helene,20,visitor_1861,0,0
5/1/2014,Bastille,Helene,20,visitor_1866,0,0
5/1/2014,Bastille,Helene,20,visitor_1877,0,0
5/1/2014,Bastille,Helene,20,visitor_1900,0,0
5/1/2014,Bastille,Helene,20,visitor_1901,1,0
5/1/2014,Bastille,Helene,20,visitor_1902,0,0
5/1/2014,Bastille,Helene,20,visitor_1907,1,0
5/1/2014,Bastille,Helene,20,visitor_1977,0,0
5/1/2014,Bastille,Helene,20,visitor_1984,0,0
5/1/2014,Bastille,Helene,20,visitor_2009,1,1
5/1/2014,Bastille,Helene,20,visitor_2037,0,0
5/1/2014,Bastille,Helene,20,visitor_2066,0,0
5/1/2014,Bastille,Helene,20,visitor_2102,0,0
5/1/2014,Bastille,Helene,20,visitor_2110,1,0
5/1/2014,Bastille,Helene,20,visitor_2160,0,0
5/1/2014,Bastille,Helene,20,visitor_2188,1,1
5/1/2014,Bastille,Helene,20,visitor_2192,0,0
5/1/2014,Bastille,Helene,20,visitor_2235,1,0
5/1/2014,Bastille,Helene,20,visitor_2254,0,0
5/1/2014,Bastille,Helene,20,visitor_2268,0,0
5/1/2014,Bastille,Helene,20,visitor_2272,0,0
5/1/2014,Bastille,Helene,20,visitor_2314,0,0
5/1/2014,Bastille,Helene,20,visitor_2342,1,1
5/1/2014,Bastille,Helene,20,visitor_2355,0,0
5/1/2014,Bastille,Helene,20,visitor_2365,0,0
5/1/2014,Bastille,Helene,20,visitor_2374,0,0
5/1/2014,Bastille,Helene,20,visitor_2377,0,0
5/1/2014,Bastille,Helene,20,visitor_2400,0,0
5/1/2014,Bastille,Helene,20,visitor_2405,0,0
5/1/2014,Bastille,Helene,20,visitor_2409,0,0
5/1/2014,Bastille,Helene,20,visitor_2413,0,0
5/1/2014,Bastille,Helene,20,visitor_2424,0,0
5/1/2014,Bastille,Helene,20,visitor_2432,0,0
5/1/2014,Bastille,Helene,20,visitor_2434,1,0
5/1/2014,Bastille,Helene,20,visitor_2447,0,0
5/1/2014,Bastille,Helene,20,visitor_2450,0,0
5/1/2014,Bastille,Helene,20,visitor_2457,0,0
5/1/2014,Bastille,Helene,20,visitor_2466,0,0
5/1/2014,Bastille,Helene,20,visitor_2468,0,0
5/1/2014,Bastille,Helene,20,visitor_2469,0,0
5/1/2014,Bastille,Helene,20,visitor_2472,0,0
5/1/2014,Bastille,Helene,20,visitor_2479,0,0
5/1/2014,Bastille,Helene,20,visitor_2485,1,0
5/1/2014,Bastille,Helene,20,visitor_2506,0,0
5/1/2014,Bastille,Helene,20,visitor_2510,0,0
5/1/2014,Bastille,Helene,20,visitor_2511,1,0
5/1/2014,Bastille,Helene,20,visitor_2515,1,1
5/1/2014,Bastille,Helene,20,visitor_2526,0,0
5/1/2014,Bastille,Helene,20,visitor_2534,0,0
5/1/2014,Bastille,Helene,20,visitor_2542,0,0
5/1/2014,Bastille,Helene,20,visitor_2550,1,1
5/1/2014,Bastille,Helene,20,visitor_2554,0,0
5/1/2014,Bastille,Helene,20,visitor_2573,0,0
5/1/2014,Bastille,Helene,20,visitor_2579,0,0
5/1/2014,Bastille,Helene,20,visitor_2613,1,0
5/1/2014,Bastille,Helene,20,visitor_2652,1,0
5/1/2014,Bastille,Helene,20,visitor_2665,0,0
5/1/2014,Bastille,Helene,20,visitor_2692,0,0
5/1/2014,Bastille,Helene,20,visitor_2702,0,0
5/1/2014,Bastille,Helene,20,visitor_2707,0,0
5/1/2014,Bastille,Helene,20,visitor_2708,0,0
5/1/2014,Bastille,Helene,20,visitor_2727,1,0
5/1/2014,Bastille,Helene,20,visitor_2734,0,0
5/1/2014,Bastille,Helene,20,visitor_2753,0,0
5/1/2014,Bastille,Helene,20,visitor_2757,0,0
5/1/2014,Bastille,Helene,20,visitor_2782,0,0
5/1/2014,Bastille,Helene,20,visitor_2785,1,0
5/1/2014,Bastille,Helene,20,visitor_2806,1,0
5/1/2014,Bastille,Helene,20,visitor_2836,0,0
5/1/2014,Bastille,Helene,20,visitor_2848,0,0
5/1/2014,Bastille,Helene,20,visitor_2855,0,0
5/1/2014,Bastille,Helene,20,visitor_2874,0,0
5/1/2014,Bastille,Helene,20,visitor_2877,0,0
5/1/2014,Bastille,Helene,20,visitor_2903,0,0
5/1/2014,Bastille,Helene,20,visitor_2905,0,0
5/1/2014,Bastille,Helene,20,visitor_2927,0,0
5/1/2014,Bastille,Helene,20,visitor_2931,1,0
5/1/2014,Bastille,Helene,20,visitor_2943,0,0
5/1/2014,Bastille,Helene,20,visitor_2992,0,0
5/1/2014,Bastille,Helene,20,visitor_2995,0,0
5/1/2014,Bastille,Helene,20,visitor_2996,1,0
5/1/2014,Bastille,Helene,20,visitor_2998,1,1
5/1/2014,Bastille,Helene,20,visitor_3003,0,0
5/1/2014,Bastille,Helene,20,visitor_3006,0,0
5/1/2014,Bastille,Helene,20,visitor_3022,0,0
5/1/2014,Bastille,Helene,20,visitor_3029,0,0
5/1/2014,Bastille,Helene,20,visitor_3037,0,0
5/1/2014,Bastille,Helene,20,visitor_3066,0,0
5/1/2014,Bastille,Helene,20,visitor_3076,0,0
5/1/2014,Bastille,Helene,20,visitor_3099,0,0
5/1/2014,Bastille,Helene,20,visitor_3146,0,0
5/1/2014,Bastille,Helene,20,visitor_3149,1,1
5/1/2014,Bastille,Helene,20,visitor_3154,0,0
5/1/2014,Bastille,Helene,20,visitor_3178,1,0
5/1/2014,Bastille,Helene,20,visitor_3181,0,0
5/1/2014,Bastille,Helene,20,visitor_3217,0,0
5/1/2014,Bastille,Helene,20,visitor_3250,0,0
5/1/2014,Bastille,Helene,20,visitor_3271,0,0
5/1/2014,Bastille,Helene,20,visitor_3350,0,0
5/1/2014,Bastille,Helene,20,visitor_3355,0,0
5/1/2014,Bastille,Helene,20,visitor_3357,0,0
5/1/2014,Bastille,Helene,20,visitor_3403,0,0
5/1/2014,Bastille,Helene,20,visitor_3404,1,0
5/1/2014,Bastille,Helene,20,visitor_3409,0,0
5/1/2014,Bastille,Helene,20,visitor_3447,0,0
5/1/2014,Bastille,Helene,20,visitor_3450,0,0
5/1/2014,Bastille,Helene,20,visitor_3493,0,0
5/1/2014,Bastille,Helene,20,visitor_3532,0,0
5/1/2014,Bastille,Helene,20,visitor_3538,0,0
5/1/2014,Bastille,Helene,20,visitor_3541,0,0
5/1/2014,Bastille,Helene,20,visitor_3543,0,0
5/1/2014,Bastille,Helene,20,visitor_3544,0,0
5/1/2014,Bastille,Helene,20,visitor_3573,1,1
5/1/2014,Bastille,Helene,20,visitor_3580,1,0
5/1/2014,Bastille,Helene,20,visitor_3585,1,1
5/1/2014,Bastille,Helene,20,visitor_3598,0,0
5/1/2014,Bastille,Helene,20,visitor_3599,1,0
5/1/2014,Bastille,Helene,20,visitor_3618,1,0
5/1/2014,Bastille,Helene,21,visitor_3631,0,0
5/1/2014,Bastille,Helene,21,visitor_3645,0,0
5/1/2014,Bastille,Helene,21,visitor_3666,0,0
5/1/2014,Bastille,Helene,21,visitor_3667,0,0
5/1/2014,Bastille,Helene,21,visitor_3694,0,0
5/1/2014,Bastille,Helene,21,visitor_3714,1,1
5/1/2014,Bastille,Helene,21,visitor_3739,0,0
5/1/2014,Bastille,Helene,21,visitor_3756,0,0
5/1/2014,Bastille,Helene,21,visitor_3781,0,0
5/1/2014,Bastille,Helene,21,visitor_3786,1,1
5/1/2014,Bastille,Helene,21,visitor_3812,0,0
5/1/2014,Bastille,Helene,21,visitor_3837,0,0
5/1/2014,Bastille,Helene,21,visitor_3847,0,0
5/1/2014,Bastille,Helene,21,visitor_3866,0,0
5/1/2014,Bastille,Helene,21,visitor_3868,0,0
5/1/2014,Bastille,Helene,21,visitor_3869,0,0
5/1/2014,Bastille,Helene,21,visitor_3877,0,0
5/1/2014,Bastille,Helene,21,visitor_3886,1,1
5/1/2014,Bastille,Helene,21,visitor_3888,0,0
5/1/2014,Bastille,Helene,21,visitor_3895,0,0
5/1/2014,Bastille,Helene,21,visitor_3897,0,0
5/1/2014,Bastille,Helene,21,visitor_3910,1,0
5/1/2014,Bastille,Helene,21,visitor_3947,0,0
5/1/2014,Bastille,Helene,21,visitor_3958,0,0
5/1/2014,Bastille,Helene,21,visitor_3968,0,0
5/1/2014,Bastille,Helene,21,visitor_3976,0,0
5/1/2014,Bastille,Helene,21,visitor_3981,1,0
5/1/2014,Bastille,Helene,21,visitor_3997,0,0
5/1/2014,Bastille,Helene,21,visitor_4021,0,0
5/1/2014,Bastille,Helene,21,visitor_4024,0,0
5/1/2014,Bastille,Helene,21,visitor_4053,0,0
5/1/2014,Bastille,Helene,21,visitor_4065,1,1
5/1/2014,Bastille,Helene,21,visitor_4066,1,0
5/1/2014,Bastille,Helene,21,visitor_4077,1,1
5/1/2014,Bastille,Helene,21,visitor_4088,0,0
5/1/2014,Bastille,Helene,21,visitor_4109,1,0
5/1/2014,Bastille,Helene,21,visitor_4129,0,0
5/1/2014,Bastille,Helene,21,visitor_4144,0,0
5/1/2014,Bastille,Helene,21,visitor_4148,0,0
5/1/2014,Bastille,Helene,21,visitor_4160,1,1
5/1/2014,Bastille,Helene,21,visitor_4216,1,1
5/1/2014,Bastille,Helene,21,visitor_4234,1,0
5/1/2014,Bastille,Helene,21,visitor_4244,0,0
5/1/2014,Bastille,Helene,21,visitor_4254,0,0
5/1/2014,Bastille,Helene,21,visitor_4264,1,0
5/1/2014,Bastille,Helene,21,visitor_4288,0,0
5/1/2014,Bastille,Helene,21,visitor_4292,0,0
5/1/2014,Bastille,Helene,21,visitor_4300,0,0
5/1/2014,Bastille,Helene,21,visitor_4301,0,0
5/1/2014,Bastille,Helene,21,visitor_4312,1,1
5/1/2014,Bastille,Helene,21,visitor_4335,1,0
5/1/2014,Bastille,Helene,21,visitor_4339,1,0
5/1/2014,Bastille,Helene,21,visitor_4375,1,0
5/1/2014,Bastille,Helene,21,visitor_4376,0,0
5/1/2014,Bastille,Helene,21,visitor_4380,0,0
5/1/2014,Bastille,Helene,21,visitor_4418,1,0
5/1/2014,Bastille,Helene,21,visitor_4429,1,0
5/1/2014,Bastille,Helene,21,visitor_4454,1,0
5/1/2014,Bastille,Helene,21,visitor_4466,0,0
5/1/2014,Bastille,Helene,21,visitor_4468,0,0
5/1/2014,Bastille,Helene,21,visitor_4485,1,0
5/1/2014,Bastille,Helene,21,visitor_4498,0,0
5/1/2014,Bastille,Helene,21,visitor_4505,0,0
5/1/2014,Bastille,Helene,21,visitor_4519,0,0
5/1/2014,Bastille,Helene,21,visitor_4521,0,0
5/1/2014,Bastille,Helene,21,visitor_4536,0,0
5/1/2014,Bastille,Helene,21,visitor_4548,0,0
5/1/2014,Bastille,Helene,21,visitor_4564,0,0
5/1/2014,Bastille,Helene,21,visitor_4570,0,0
5/1/2014,Bastille,Helene,21,visitor_4576,0,0
5/1/2014,Bastille,Helene,21,visitor_4582,0,0
5/1/2014,Bastille,Helene,21,visitor_4587,0,0
5/1/2014,Bastille,Helene,21,visitor_4604,0,0
5/1/2014,Bastille,Helene,21,visitor_4640,0,0
5/1/2014,Bastille,Helene,21,visitor_4652,1,0
5/1/2014,Bastille,Helene,21,visitor_4657,0,0
5/1/2014,Bastille,Helene,21,visitor_4658,0,0
5/1/2014,Bastille,Helene,21,visitor_4667,1,1
5/1/2014,Bastille,Helene,21,visitor_4669,0,0
5/1/2014,Bastille,Helene,21,visitor_4674,0,0
5/1/2014,Bastille,Helene,21,visitor_4702,1,0
5/1/2014,Bastille,Helene,21,visitor_4703,1,0
5/1/2014,Bastille,Helene,21,visitor_4707,0,0
5/1/2014,Bastille,Helene,21,visitor_4758,1,0
5/1/2014,Bastille,Helene,21,visitor_4763,0,0
5/1/2014,Bastille,Helene,21,visitor_4765,0,0
5/1/2014,Bastille,Helene,21,visitor_4770,0,0
5/1/2014,Bastille,Helene,21,visitor_4778,0,0
5/1/2014,Bastille,Helene,21,visitor_4799,1,0
5/1/2014,Bastille,Helene,21,visitor_4805,1,0
5/1/2014,Bastille,Helene,21,visitor_4809,0,0
5/1/2014,Bastille,Helene,21,visitor_4846,0,0
5/1/2014,Bastille,Helene,21,visitor_4852,0,0
5/1/2014,Bastille,Helene,21,visitor_4861,0,0
5/1/2014,Bastille,Helene,21,visitor_4874,0,0
5/1/2014,Bastille,Helene,21,visitor_4917,1,0
5/1/2014,Bastille,Helene,21,visitor_4943,0,0
5/1/2014,Bastille,Helene,21,visitor_4944,0,0
5/1/2014,Bastille,Helene,21,visitor_4955,0,0
5/1/2014,Bastille,Helene,21,visitor_4972,1,0
5/1/2014,Bastille,Helene,21,visitor_4995,0,0
5/1/2014,Bastille,Helene,21,visitor_5015,0,0
5/1/2014,Bastille,Helene,21,visitor_5062,0,0
5/1/2014,Bastille,Helene,21,visitor_5065,0,0
5/1/2014,Bastille,Helene,21,visitor_5068,0,0
5/1/2014,Bastille,Helene,21,visitor_5089,0,0
5/1/2014,Bastille,Helene,21,visitor_5096,0,0
5/1/2014,Bastille,Helene,21,visitor_5104,0,0
5/1/2014,Bastille,Helene,21,visitor_5111,1,0
5/1/2014,Bastille,Helene,21,visitor_5119,1,1
5/1/2014,Bastille,Helene,21,visitor_5155,1,0
5/1/2014,Bastille,Helene,21,visitor_5161,0,0
5/1/2014,Bastille,Helene,21,visitor_5174,0,0
5/1/2014,Bastille,Helene,21,visitor_5177,0,0
5/1/2014,Bastille,Helene,21,visitor_5230,0,0
5/1/2014,Bastille,Helene,21,visitor_5237,0,0
5/1/2014,Bastille,Helene,21,visitor_5260,1,0
5/1/2014,Bastille,Helene,21,visitor_5273,1,1
5/1/2014,Bastille,Helene,21,visitor_5298,1,0
5/1/2014,Bastille,Helene,21,visitor_5300,0,0
5/1/2014,Bastille,Helene,21,visitor_5317,1,1
5/1/2014,Bastille,Helene,21,visitor_5322,1,0
5/1/2014,Bastille,Helene,21,visitor_5338,0,0
5/1/2014,Bastille,Helene,21,visitor_5348,0,0
5/1/2014,Bastille,Helene,21,visitor_5358,0,0
5/1/2014,Bastille,Helene,21,visitor_5393,1,0
5/1/2014,Bastille,Helene,21,visitor_5394,0,0
5/1/2014,Bastille,Helene,21,visitor_5408,1,0
5/1/2014,Bastille,Helene,21,visitor_5412,0,0
5/1/2014,Bastille,Helene,21,visitor_5414,1,1
5/1/2014,Bastille,Helene,21,visitor_5424,1,0
5/1/2014,Bastille,Helene,21,visitor_5429,0,0
5/1/2014,Bastille,Helene,21,visitor_5442,0,0
5/1/2014,Bastille,Helene,21,visitor_5445,0,0
5/1/2014,Bastille,Helene,21,visitor_5454,0,0
5/1/2014,Bastille,Helene,21,visitor_5464,0,0
5/1/2014,Bastille,Helene,21,visitor_5475,0,0
5/1/2014,Bastille,Helene,21,visitor_5489,0,0
5/1/2014,Bastille,Helene,21,visitor_5492,0,0
5/1/2014,Bastille,Helene,21,visitor_5500,0,0
5/1/2014,Bastille,Helene,21,visitor_5563,0,0
5/1/2014,Bastille,Helene,21,visitor_5577,0,0
5/1/2014,Bastille,Helene,22,visitor_5582,0,0
5/1/2014,Bastille,Helene,22,visitor_5626,0,0
5/1/2014,Bastille,Helene,22,visitor_5629,1,0
5/1/2014,Bastille,Helene,22,visitor_5712,1,1
5/1/2014,Bastille,Helene,22,visitor_5746,0,0
5/1/2014,Bastille,Helene,22,visitor_5747,1,0
5/1/2014,Bastille,Helene,22,visitor_5749,0,0
5/1/2014,Bastille,Helene,22,visitor_5757,0,0
5/1/2014,Bastille,Helene,22,visitor_5767,0,0
5/1/2014,Bastille,Helene,22,visitor_5786,0,0
5/1/2014,Bastille,Helene,22,visitor_5802,0,0
5/1/2014,Bastille,Helene,22,visitor_5832,0,0
5/1/2014,Bastille,Helene,22,visitor_5847,0,0
5/1/2014,Bastille,Helene,22,visitor_5879,0,0
5/1/2014,Bastille,Helene,22,visitor_5892,1,1
5/1/2014,Bastille,Helene,22,visitor_5905,0,0
5/1/2014,Bastille,Helene,22,visitor_5929,0,0
5/1/2014,Bastille,Helene,22,visitor_5944,0,0
5/1/2014,Bastille,Helene,22,visitor_5966,1,0
5/1/2014,Bastille,Helene,22,visitor_5982,1,0
5/1/2014,Bastille,Helene,22,visitor_6027,0,0
5/1/2014,Bastille,Helene,22,visitor_6042,0,0
5/1/2014,Bastille,Helene,22,visitor_6047,0,0
5/1/2014,Bastille,Helene,22,visitor_6060,1,0
5/1/2014,Bastille,Helene,22,visitor_6069,0,0
5/1/2014,Bastille,Helene,22,visitor_6088,0,0
5/1/2014,Bastille,Helene,22,visitor_6107,0,0
5/1/2014,Bastille,Helene,22,visitor_6113,0,0
5/1/2014,Bastille,Helene,22,visitor_6124,0,0
5/1/2014,Bastille,Helene,22,visitor_6140,1,0
5/1/2014,Bastille,Helene,22,visitor_6148,0,0
5/1/2014,Bastille,Helene,22,visitor_6153,0,0
5/1/2014,Bastille,Helene,22,visitor_6158,0,0
5/1/2014,Bastille,Helene,22,visitor_6160,1,0
5/1/2014,Bastille,Helene,22,visitor_6196,1,0
5/1/2014,Bastille,Helene,22,visitor_6228,0,0
5/1/2014,Bastille,Helene,22,visitor_6230,0,0
5/1/2014,Bastille,Helene,23,visitor_6281,0,0
5/1/2014,Bastille,Helene,23,visitor_6333,0,0
5/1/2014,Bastille,Helene,23,visitor_6342,1,0
5/1/2014,Bastille,Helene,23,visitor_6343,1,0
5/1/2014,Bastille,Helene,23,visitor_6360,1,1
5/1/2014,Bastille,Helene,23,visitor_6364,1,0
5/1/2014,Bastille,Helene,23,visitor_6366,1,0
5/1/2014,Bastille,Helene,23,visitor_6369,0,0
5/1/2014,Bastille,Helene,23,visitor_6371,0,0
5/1/2014,Bastille,Helene,23,visitor_6379,0,0
5/1/2014,Bastille,Helene,23,visitor_6405,0,0
5/1/2014,Bastille,Helene,23,visitor_6429,0,0
5/1/2014,Bastille,Helene,23,visitor_6439,0,0
5/1/2014,Bastille,Helene,23,visitor_6454,0,0
5/1/2014,Bastille,Helene,23,visitor_6460,0,0
5/1/2014,Bastille,Helene,23,visitor_6465,0,0
5/1/2014,Bastille,Helene,23,visitor_6471,0,0
5/1/2014,Bastille,Helene,23,visitor_6481,0,0
5/1/2014,Bastille,Helene,23,visitor_6498,1,0
5/1/2014,Bastille,Helene,23,visitor_6503,1,1
5/1/2014,Bastille,Helene,23,visitor_6525,1,0
5/1/2014,Bastille,Helene,23,visitor_6603,1,1
5/1/2014,Bastille,Helene,23,visitor_6606,0,0
5/1/2014,Bastille,Helene,23,visitor_6615,1,0
5/1/2014,Bastille,Helene,23,visitor_6637,1,0
5/1/2014,Bastille,Helene,23,visitor_6638,1,0
5/1/2014,Bastille,Helene,23,visitor_6640,0,0
5/1/2014,Bastille,Helene,23,visitor_6654,1,1
5/1/2014,Bastille,Helene,23,visitor_6666,1,0
5/1/2014,Bastille,Helene,23,visitor_6671,0,0
5/1/2014,Bastille,Helene,23,visitor_6718,1,0
5/1/2014,Bastille,Helene,23,visitor_6729,0,0
5/1/2014,Bastille,Helene,23,visitor_6771,0,0
5/1/2014,Bastille,Helene,23,visitor_6773,0,0
5/1/2014,Bastille,Helene,23,visitor_6785,1,0
5/1/2014,Bastille,Helene,23,visitor_6802,0,0
5/1/2014,Bastille,Helene,23,visitor_6803,0,0
5/1/2014,Bastille,Helene,23,visitor_6842,1,1
5/1/2014,Bastille,Helene,23,visitor_6852,0,0
5/1/2014,Bastille,Helene,23,visitor_6875,0,0
5/1/2014,Bastille,Helene,23,visitor_6883,0,0
5/1/2014,Bastille,Helene,23,visitor_6891,0,0
5/1/2014,Bastille,Helene,23,visitor_6895,0,0
5/1/2014,Bastille,Helene,23,visitor_6905,0,0
5/1/2014,Bastille,Helene,23,visitor_6954,0,0
5/1/2014,Bastille,Helene,23,visitor_6958,0,0
5/1/2014,Bastille,Helene,23,visitor_6965,0,0
5/1/2014,Bastille,Helene,23,visitor_6974,0,0
5/1/2014,Bastille,Helene,23,visitor_6980,1,0
5/1/2014,Bastille,Helene,23,visitor_7002,0,0
5/1/2014,Bastille,Helene,23,visitor_7010,0,0
5/1/2014,Bastille,Helene,23,visitor_7012,1,0
5/1/2014,Bastille,Helene,23,visitor_7018,0,0
5/1/2014,Bastille,Helene,23,visitor_7024,0,0
5/1/2014,Bastille,Helene,23,visitor_7030,1,0
5/1/2014,Bastille,Helene,23,visitor_7043,1,1
5/1/2014,Bastille,Helene,23,visitor_7046,1,0
5/1/2014,Bastille,Helene,23,visitor_7066,0,0
5/1/2014,Bastille,Helene,23,visitor_7106,0,0
5/1/2014,Bastille,Helene,23,visitor_7137,0,0
5/1/2014,Bastille,Helene,23,visitor_7180,1,1
5/1/2014,Bastille,Helene,23,visitor_7202,0,0
5/1/2014,Bastille,Helene,23,visitor_7207,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7230,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7246,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7320,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7323,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7325,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7348,1,0
5/2/2014,Champs Elysees,Helene,18,visitor_7368,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7376,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7389,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7390,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7397,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7419,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7441,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7455,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7481,0,0
5/2/2014,Champs Elysees,Helene,18,visitor_7482,0,0
